ID,sec,faculty,score
63130040784,4,engineering,9
63130042962,2,engineering,12
63130041880,1,engineering,10
63120040657,5,agriculture,10
63130044380,3,engineering,11
63130042975,2,engineering,10
63130041581,4,engineering,12
63130043323,1,engineering,11
63130044632,1,engineering,11
63120040631,5,agriculture,12
63130043066,3,engineering,9
63130043895,1,engineering,12
63130043985,1,engineering,12
63130042238,2,engineering,11
63130042728,3,engineering,9
63130044256,2,engineering,11
63130043309,2,engineering,10
63130041842,3,engineering,12
63130042304,2,engineering,11
63130042209,3,engineering,12
63120041285,5,agriculture,9
63130045097,3,engineering,11
63130042601,1,engineering,9
63130042041,4,engineering,10
63120041098,5,agriculture,9
63130042579,2,engineering,7
63130041262,3,engineering,10
63120040468,5,agriculture,7
63130042135,3,engineering,12
63130043497,3,engineering,8
63120040668,5,agriculture,4
63130041169,4,engineering,11
63120040361,5,agriculture,10
63130042759,3,engineering,11
63130640225,1,engineering,12
63130043620,1,engineering,8
63130043956,1,engineering,11
63130042566,3,engineering,11
63130042692,1,engineering,8
63130044182,1,engineering,10
63130044177,2,engineering,9
63130044018,2,engineering,12
63120040493,5,agriculture,11
63130044063,2,engineering,10
63130044335,3,engineering,11
63130042395,3,engineering,11
63120040613,5,agriculture,10
63130042034,3,engineering,9
63130042401,3,engineering,11
63130041552,2,engineering,5
63120040943,5,agriculture,7
63130043967,2,engineering,10
63130044502,3,engineering,12
63130042838,2,engineering,12
63120040152,5,agriculture,11
63130044797,1,engineering,7
63130044694,1,engineering,8
63130042823,1,engineering,8
63130042670,3,engineering,12
63120040266,5,agriculture,10
63120040017,5,agriculture,9
63120040846,5,agriculture,9
63120540056,3,agriculture,9
63130042210,4,engineering,10
63130044919,1,engineering,12
63120041362,5,agriculture,11
63120041247,5,agriculture,9
63130041392,1,engineering,8
63130041851,2,engineering,10
63130043170,3,engineering,9
63130044847,1,engineering,6
63120040716,5,agriculture,10
63130041767,3,engineering,10
63120040774,5,agriculture,2
63120041144,5,agriculture ,10
63120040556,5,agriculture,10
63120040530,5,agriculture,6
63130044982,2,engineering,5
63120040998,5,agriculture,10
63130043084,3,engineering,8
63130044735,1,engineering,5
63130045136,2,engineering,11
63120040963,5,agriculture,10
63120040163,5,agriculture,9
63120040143,5,agriculture,11
63120040602,5,agriculture,9
63120040080,5,agriculture,11
63120041380,5,agriculture,11
63120040020,5,agriculture,10
63120041270,5,agriculture,10
63120041119,5,agriculture,12
63130041932,4,engineering,12
63130044908,1,engineering,10
63130041347,2,engineering,11
63130042333,3,engineering,12
63130045176,2,engineering,11
63120040884,5,agriculture,12
63130041770,4,engineering,9
63130043778,2,engineering,12
63120040741,5,agriculture,7
63120040121,5,agriculture,11
63120041201,5,agriculture,10
63120041487,5,agriculture,9
63120040200,5,agriculture,10
63130043406,3,engineering,11
63130041897,3,engineering,12
63120040811,5,agriculture,10
63130045118,2,engineering,5
63130043505,2,engineering,8
63130043662,2,engineering,12
63130041637,3,engineering,11
63130043790,3,engineering,8
63130043215,3,engineering,11
63130640043,1,engineering,11
63130044937,1,engineering,11
63130044397,2,engineering,10
63130043310,3,engineering,11
63120041018,5,agriculture,8
63130044043,3,engineering,12
63130044247,2,engineering,7
63120041043,5,agriculture,10
63130043039,1,engineering,7
63130042906,1,engineering,11
63120041375,5,agriculture,8
63130043147,3,engineering,11
63120040729,5,agriculture,9
63130041536,4,engineering,10
63130044568,1,engineering,12
63130041330,4,engineering,12
63120040341,5,agriculture,9
63120040284,5,agriculture,9
63120040316,5,agriculture,11
