ID,faculty,sec,score
63120040291,agriculture,1,2
63120040525,agriculture,5,2
63120041502,agriculture,5,4
63120041137,agriculture,5,3
63130043895,engineering,1,9
63120041164,agriculture,5,3
63120040530,agriculture,5,3
63130042283,engineering,4,8
63130043323,engineering,1,10
63130042333,engineering,3,10
63120041472,agriculture,5,4
63130041464,engineering,3,8
63130044502,engineering,3,11
63120540148,agriculture,5,8
63130044513,engineering,3,8
63130043985,engineering,1,11
63130041581,engineering,4,10
63120041119,agriculture,5,9
63130042647,engineering,1,5
63120040796,agriculture,5,9
63120041182,agriculture,5,9
63130044472,engineering,1,8
63120040316,agriculture,5,10
63130042470,engineering,4,9
63120040846,agriculture,5,4
63130043970,engineering,2,7
63120041007,agriculture,5,9
63120040998,agriculture,5,9
63130041347,engineering,2,6
63120040811,agriculture,5,9
63120040121,agriculture,5,8
63130041242,engineering,4,10
63120040239,agriculture,5,9
63120040592,agriculture,5,9
63120040305,agriculture,5,9
63120040143,agriculture,5,9
63120041063,agriculture,5,11
63120040279,agriculture,5,7
63120040716,agriculture,5,7
63120040943,agriculture,5,8
63130041312,engineering,4,9
63120041098,agriculture,5,9
63120040493,agriculture,5,9
63120040457,agriculture,5,9
63120040750,agriculture,5,8
63130042656,engineering,1,10
63130041552,engineering,4,9
63120040468,agriculture,5,11
63120041320,agriculture,5,8
63130044586,engineering,1,5
63120040334,agriculture,5,9
63130041712,engineering,2,9
63120041018,agriculture,5,11
63120041052,agriculture,5,8
63120040585,agriculture,5,9
63130044568,engineering,1,4
63120040389,agriculture,5,11
63120041267,agriculture,5,11
63130041730,engineering,4,10
63120041458,agriculture,5,8
63130044137,engineering,1,9
63130043651,engineering,2,9
63120040789,agriculture,5,11
63130042050,engineering,2,7
63130043778,engineering,2,11
63120040884,agriculture,5,11
63120040255,agriculture,2,8
63120040350,agriculture,5,7
63130041619,engineering,4,8
63130044267,engineering,2,7
63120041212,agriculture,5,11
63120041513,agriculture,5,11
63120040729,agriculture,5,9
63120040413,agriculture,5,11
63120040284,agriculture,5,11
63120040774,agriculture,5,11
63130043550,engineering,2,7
63130042935,engineering,3,10
63120040671,agriculture,5,10
63130045121,engineering,2,9
63120040981,agriculture,5,11
63120041144,agriculture,5,11
63130043828,engineering,3,9
63120041036,agriculture,5,11
63130041301,engineering,3,9
63120041449,agriculture,5,11
63120040200,agriculture,5,10
63120041270,agriculture,5,10
63130044076,engineering,2,9
63120040402,agriculture,5,11
63120040963,agriculture,5,10
63130043046,engineering,2,10
63120040693,agriculture,5,11
63120041225,agriculture,5,11
63130042980,engineering,2,10
63130043039,engineering,1,9
63130042975,engineering,2,10
63120040080,agriculture,5,7
63120041292,agriculture,5,10
63120040017,agriculture,5,11
63130042890,engineering,1,9
63120040471,agriculture,5,9
63120041317,agriculture,5,9
63120040107,agriculture,5,8
63130043860,engineering,3,6
63120040211,agriculture,5,8
63120040374,agriculture,5,8
63120040800,agriculture,5,10
63120040431,agriculture,5,11
63120040918,agriculture,5,10
63130044335,engineering,3,10
63120040501,agriculture,5,8
63120040705,agriculture,5,7
63130042238,engineering,2,8
63120041306,agriculture,5,11
63130042005,engineering,3,9
63130042566,engineering,3,10
63130042074,engineering,3,11
63120040657,agriculture,5,11
63120040341,agriculture,5,10
63120041285,agriculture,5,10
63120040176,agriculture,5,11
63120040824,agriculture,5,10
63120040118,agriculture,5,10
63130042401,engineering,3,10
