i,X,Y
1,3.24,0
2,2.5,1.5
3,2.41,0
4,2.41,2
5,1.96,0
6,2.41,0
7,2.64,0
8,3.45,2
9,2.92,2
10,2.92,0
11,2.92,0
12,1.46,0
13,3.3,2.5
14,1.46,0
15,1.46,1
16,3.75,4
17,3.3,3.5
18,3,2.5
19,3.05,2
20,3.75,2
21,2.97,2
22,3.4,2
23,3.18,2.5
24,2.97,2
25,3.47,2
26,2.18,1
27,3.82,2.5
28,3.82,2.5
29,3.88,2
30,2.64,2
31,2.62,0
32,3.27,2
33,2.72,2
34,3,4
35,2.6,2
36,2,0
37,2.16,2
38,2,0
39,2,0
40,1.88,0
41,2,1
42,3.75,2
43,3.58,2.5
44,3.75,2.5
45,3.5,2
46,2.82,2
47,2.88,3
48,3.4,2
49,2.94,0
50,3.92,4
51,3.42,2.5
52,2.56,2
53,2.25,0
54,2.25,1.5
55,3.22,2
56,2.76,2
57,2.76,0
58,2.76,0
59,1.78,0
60,1.85,1.5
61,1.78,0
62,1.86,0
63,1.78,1
64,3.43,2.5
65,3.27,2.5
66,2.08,2
67,2.7,1.5
68,3.16,2.5
69,3.72,2
70,2.65,2.5
71,2.1,1
72,3.58,1.5
73,2.97,1
74,1.97,1
75,2.72,2.5
76,2.5,0
77,3.16,0
78,2.57,2
79,3.78,2.5
80,3.58,1
81,3.96,2
82,2.38,2
83,2.5,0
84,3.71,2
85,3.71,0
86,2.33,2
87,3.52,1
88,3.67,4
89,2.65,3
90,2.64,0
91,3.57,2
92,2.59,0
93,3.64,2.5
94,2.84,1.5
95,4,2
96,2.7,1.5
97,3.2,1
98,3.76,2
99,3.6,1
100,3.6,0
101,3.42,2.5
102,2.79,2
103,3,2
104,2.75,2
105,1.81,0
106,2.45,1
107,3.5,1.5
108,3.5,0
109,2.35,2
110,2.45,0
111,3.2,2.5
112,3.38,2
113,3.15,2
114,4,2
115,3.38,0
116,3.27,2
117,3,1.5
118,3,0
119,1,1.5
120,3.66,1.5
121,3.66,0
122,3.66,4
123,2.66,2.5
124,3.13,2.5
125,2.95,2
126,2.2,1.5
127,2.56,2
128,3.75,2.5
129,3.5,1
130,1.97,2
131,1.9,0
132,1.97,0
133,1.9,0
134,1.86,1.5
135,1.9,1
136,2.92,1.5
137,3.93,2.5
138,3.03,2
139,3.15,1.5
140,3.03,1
141,3.15,0
142,3.6,3.5
143,3.66,2.5
144,3,4
145,3.16,2.5
146,2.43,2.5
147,2.56,2.5
148,3.02,2.5
149,3,2.5
150,2.46,2.5
151,3.2,2.5
152,2.96,2.5
153,2.88,2.5
154,2.27,2.5
155,2,2.5
156,2.58,2
157,3.91,4
158,3.75,3
159,2.26,2
160,1.69,2
161,2.7,2
162,2.8,2
163,2.1,1
164,1.53,2
165,3.16,1
166,1.76,1
167,2.93,0
168,1.8,2
169,2,1.5
170,2.45,1
171,2.78,0
172,1.73,1
173,2.2,0
174,2.93,0
175,1.53,0
176,2.76,0
177,3.58,2
178,1.92,0
179,3.93,4
180,2.7,1.5
181,3.03,2.5
182,3.56,2.5
183,3.73,3
184,3.4,2.5
185,2.7,2
186,2.45,1
187,2.16,1
188,2.45,0
189,2.16,0
190,2.02,1.5
191,2.55,0
192,2.41,0
193,2.41,0
194,2.02,0
195,2.63,1
196,3,0
197,2.02,0
198,3,0
199,2.41,1
200,4,3.5
201,3.93,3.5
202,3.92,4
203,3.46,2
204,3.46,0
205,3.9,2.5
206,2.57,2.5
207,3.12,2.5
208,2.66,1.5
209,3.48,2
210,3,2
211,2.74,2
212,4,2.5
213,3.52,2
214,2.8,2
215,2.92,1
216,3.55,1.5
217,3.55,0
218,4,4
219,3.44,4
220,3.01,3.5
221,3.15,2.5
222,2.59,2
223,2.81,1
224,1.7,0
225,3.05,2
226,1.7,2
227,2.43,0
228,2.32,1
229,1.81,0
230,1.71,0
231,4,1
232,3,1
233,3.83,1.5
234,3.4,2
235,2.88,2
236,3.7,2.5
237,3.72,1
238,3.72,0
239,3.41,2.5
240,2.72,2.5
241,3.95,2
242,3.95,0
243,2.3,2
244,2.4,1.5
245,2.3,0
246,2.44,1
247,2.4,0
248,3.25,2.5
249,2.56,1.5
250,2.52,1
251,2.76,1
252,3.26,2
253,3.26,0
254,3.52,2
255,2.23,0
256,1.63,0
257,3.85,2.5
258,3.06,2
259,3.22,2
260,2.94,2
261,3.33,2.5
262,2.58,2
263,2.54,0
264,3.83,2
265,3.76,2.5
266,2.58,1.5
267,3.56,2
268,2.54,0
269,2.6,0
270,2.6,0
271,2.15,0
272,3.42,2.5
273,3.14,2
274,3.14,0
275,3.73,3
276,3,2
277,3.66,2.5
278,3.3,1.5
279,2.46,2
280,2.6,1.5
281,2.36,0
282,1.91,0
283,3.16,1
284,3.16,1.5
285,3.16,0
286,3.1,2
287,3.42,1
288,3.12,3.5
289,3.03,4
290,3.33,2.5
291,2.66,2
292,3.7,2
293,3.41,3
294,3.16,2
295,2.73,2
296,3.04,1.5
297,1.86,1.5
298,2.92,1
299,2.5,2
300,3.78,2
301,2.92,1.5
302,1.48,1
303,3.16,3.5
304,2.2,2
305,2.13,0
306,2.13,0
307,2.13,0
308,2.13,0
309,1.94,0
310,4,2
311,3.8,4
312,2.8,2.5
313,3.64,4
314,4,4
315,2.76,2
316,2.32,2
317,2.28,1.5
318,2.66,1.5
319,2.28,0
320,2.14,1.5
321,2.28,2.5
322,2.94,2
323,3.46,2
324,2.8,2
325,2.95,1
326,3.18,1
327,3.46,1
328,2.53,0
329,2.5,0
330,2.75,0
331,2.6,0
332,2.41,0
333,2.5,0
334,2,0
335,2.75,1
336,2.41,0
337,2.6,0
338,3.12,1
339,3.94,3.5
340,3.79,2.5
341,3.37,3
342,3.85,2.5
343,3.35,2
344,3.05,2.5
345,3.77,2
346,3.5,2
347,2.61,1.5
348,3.02,0
349,3.02,1.5
350,3.11,2.5
351,3.09,0
352,2.5,0
353,3.2,2.5
354,2.31,2.5
355,3.66,2.5
356,2.02,2
357,2.5,2
358,2.25,1
359,1.6,1
360,1.83,1.5
361,1.67,0
362,3.86,2.5
363,4,4
364,3.72,2.5
365,2.96,2
366,3.28,1
367,2.48,1.5
368,4,2.5
369,3.5,2.5
370,1.87,2
371,2.93,3
372,2.95,2
373,3.83,2
374,2.92,2
375,2.52,2
376,2.83,2
377,4,3.5
378,3.27,2.5
379,3.42,2
380,4,2.5
381,3,2.5
382,2.82,2.5
383,3.65,2.5
384,3.02,2.5
385,3.81,2
386,2.85,1
387,2.43,2
388,2.5,1.5
389,2.81,2
390,3.81,2
391,3.15,2
392,2.63,1
393,2.12,1.5
394,2.82,2
395,3.13,1.5
396,2.5,1
397,3.25,1.5
398,2.5,0
399,2.4,0
400,3.2,1.5
401,2.47,1
402,3.26,1
403,2.4,2
404,1.95,2
405,2.7,0
406,2.5,0
407,3.5,0
408,2.4,0
409,2.5,0
410,3.26,0
411,2.12,1
412,2.12,0
413,1.95,0
414,2.5,1
415,1.8,0
416,2.86,0
417,1.95,0
418,3.45,0
419,1.8,0
420,2.25,1
421,2.25,0
422,2.9,1.5
423,3.95,2.5
424,3.12,0
425,3.12,1
426,4,4
427,3.84,3
428,3.44,2.5
429,3.24,2
430,3.8,2.5
431,3.58,2.5
432,3.24,2
433,3.23,4
434,3.46,2.5
435,3.55,2
436,3.65,2
437,3.44,2
438,4,2.5
439,3.5,1
440,2.66,2
441,3.42,1.5
442,2.56,0
443,2.86,1.5
444,2.56,2
445,2.54,0
446,2.42,1
447,3.5,1
448,2.54,1
449,2.12,2
