ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
1,3.24,1.62
2,2.5,2.8
3,2.41,1.68
4,2.41,1.5
5,1.96,0.93
6,2.41,0.88
7,2.64,0.14
8,3.45,3.12
9,2.92,2.5
10,2.92,2.48
11,2.92,2.33
12,1.46,2.13
13,3.3,1.98
14,1.46,1.31
15,1.46,1
16,3.75,3.67
17,3.3,3.64
18,3,3.36
19,3.05,3
20,3.75,2.64
21,2.97,3.34
22,3.4,3.09
23,3.18,3.08
24,2.97,2.84
25,3.47,2.71
26,2.18,1.92
27,3.82,2.98
28,3.82,2.74
29,3.88,2.71
30,2.64,2.5
31,2.62,1.64
32,3.27,2.86
33,2.72,2.48
34,3,4
35,2.6,2.48
36,2,1.95
37,2.16,1.69
38,2,1.69
39,2,1.6
40,1.88,1.5
41,2,1.25
42,3.75,2.92
43,3.58,3.18
44,3.75,2.83
45,3.5,2.68
46,2.82,2.42
47,2.88,3.5
48,3.4,2.74
49,2.94,1.61
50,3.92,3.65
51,3.42,2.95
52,2.56,2.8
53,2.25,1.53
54,2.25,1.47
55,3.22,2.73
56,2.76,2
57,2.76,1.5
58,2.76,1.3
59,1.78,2.14
60,1.85,2.05
61,1.78,1.58
62,1.86,1.5
63,1.78,0.5
64,3.43,3
65,3.27,2.93
66,2.08,2.48
67,2.7,1.53
68,3.16,3.23
69,3.72,2.53
70,2.65,2.34
71,2.1,2.16
72,3.58,2.62
73,2.97,2.42
74,1.97,1.56
75,2.72,2.67
76,2.5,1.06
77,3.16,0.25
78,2.57,2.24
79,3.78,3.03
80,3.58,2.62
81,3.96,2.77
82,2.38,2.38
83,2.5,1.62
84,3.71,3.1
85,3.71,2.68
86,2.33,2.48
87,3.52,1.44
88,3.67,4
89,2.65,3.72
90,2.64,1.36
91,3.57,2.43
92,2.59,0.8
93,3.64,3.14
94,2.84,2.98
95,4,2.8
96,2.7,2.78
97,3.2,2.74
98,3.76,2.65
99,3.6,1.89
100,3.6,1.81
101,3.42,3.5
102,2.79,2.7
103,3,2.43
104,2.75,2.38
105,1.81,2.31
106,2.45,2.09
107,3.5,2
108,3.5,1.98
109,2.35,1.86
110,2.45,1.56
111,3.2,3
112,3.38,2.86
113,3.15,2.73
114,4,2.62
115,3.38,1.89
116,3.27,2.2
117,3,1.73
118,3,1.28
119,1,2.14
120,3.66,2.48
121,3.66,1.65
122,3.66,3.92
123,2.66,3.73
124,3.13,3.03
125,2.95,2.98
126,2.2,2.95
127,2.56,2.59
128,3.75,2.39
129,3.5,2.33
130,1.97,2
131,1.9,1.84
132,1.97,1.6
133,1.9,1.53
134,1.86,1.5
135,1.9,1
136,2.92,1.86
137,3.93,3
138,3.03,2.3
139,3.15,1.9
140,3.03,1.88
141,3.15,1.56
142,3.6,3.68
143,3.66,3.5
144,3,3.47
145,3.16,3.34
146,2.43,3.29
147,2.56,3.12
148,3.02,3.09
149,3,3.06
150,2.46,3.03
151,3.2,2.92
152,2.96,2.89
153,2.88,2.89
154,2.27,2.84
155,2,2.81
156,2.58,2.8
