ที่,คณิตศาสตร์ (X),เกรดแคล1 (Y)
1,3,2.5
2,3,2
3,3.25,2
4,2.71,1
5,3.14,2
6,2.16,0
7,1.66,0
8,1.81,0
9,2.9,1.5
10,2.06,2
11,2.16,1.5
12,1.66,1
13,1.66,0
14,2.31,1
15,1.62,1
16,2.12,1.5
17,1.88,0
18,1.66,0
19,3.13,3.5
20,3.72,4
21,2.73,2.5
22,2.7,2.5
23,3.83,3
24,1.79,2.5
25,3.29,1.5
26,2.88,2
27,1.93,1.5
28,1.6,1.5
29,2.83,2
30,2.7,2
31,1.69,1
32,2.23,0
33,3.3,2
34,3.5,1
35,1.96,1
36,3.4,2
37,3.72,2
38,3.52,0
39,2.13,1.5
40,3.52,1
41,3.13,4
42,3.03,3
43,2.83,2.5
44,2.25,2
45,2.93,2.5
46,2.56,1
47,2.7,1.5
48,2.08,1
49,3.1,1.5
50,3.79,2.5
51,2.9,2
52,3.46,3.5
53,2.5,1
54,2.66,0
55,2.66,1.5
56,1.59,0
57,2.7,3.5
58,3.54,4
59,3.48,2.5
60,3.62,2.5
61,2.65,2.5
62,2.82,1
63,2.21,2
64,3.03,2
65,1.31,2
66,3.57,1.5
67,3.4,2
68,1.82,1.5
69,2.59,2
70,2.64,1.5
71,2.47,1.5
72,2.95,0
73,2.55,2
74,1.83,2
75,2.87,1.5
76,2.37,1.5
77,1.82,0
78,1.75,1.5
79,1.98,1
80,2.04,1
81,2.55,0
82,1.43,0
83,2.81,1
84,2.95,0
85,3.46,1
86,1.75,0
87,2.59,0
88,1.75,1
89,2.51,0
90,3.22,1.5
91,2.1,0
92,2.1,1
93,2.18,0
94,2.88,0
95,2.39,0
96,1.71,0
97,2.95,2
98,2.04,0
99,1.67,0
100,1.43,1
101,1.75,0
102,2.82,0
103,1.75,0
104,2.39,0
105,1.31,0
106,2.15,0
107,2.59,0
108,1.31,0
109,1.31,0
110,3,0
111,2.39,0
112,4,4
113,4,3.5
114,3.88,4
115,3.95,4
116,3.88,3
117,3.58,3.5
118,3.36,2.5
119,3.9,3.5
120,4,2.5
121,3.64,3
122,3.94,3
123,3.46,2
124,4,3.5
125,3.48,2.5
126,3,2
127,3.6,2
128,3.38,2.5
129,3.54,2
130,2.58,2.5
131,4,2.5
132,3.5,2
133,3.68,2
134,3.28,2.5
135,3.61,2
136,3.94,2
137,3.88,2
138,3.05,2
139,3.3,2
140,2.93,1.5
141,3.12,1.5
142,2.84,2
143,3.12,0
144,2.54,1
145,3.43,1
146,3.22,2
147,2.94,1.5
148,2.61,1.5
149,2.56,1.5
150,2.18,2
151,2.18,0
152,3.22,0
153,2.81,2
154,3,1
155,3.11,0
156,1.8,1.5
157,2.18,0
158,2.65,1
159,2.66,1
160,3.25,0
161,2.01,0
162,2.66,0
163,2.5,0
164,3.06,0
165,2,0
166,2.01,0
167,1.8,0
168,2.01,1
169,2.44,0
170,1.8,0
171,2.17,2.5
172,3.41,2
173,3.39,2.5
174,3,1.5
175,1.77,2.5
176,3.58,2.5
177,2.12,2.5
178,2.53,2
179,3.63,2.5
180,2,0
181,2.69,0
182,2.25,2
183,2.64,2
184,3.34,3
185,2.8,2
186,2.57,1.5
187,1.92,1
188,1.92,0
189,2.23,0
190,3.84,2.5
191,2.76,1
192,2.96,2.5
193,3.87,3.5
194,3.06,2.5
195,3.53,4
196,3.57,2.5
197,3.85,2.5
198,3.55,2
199,2.6,2
200,2.5,2
201,3.03,2
202,3.12,2
203,2.56,2
204,3.42,2.5
205,3.61,4
206,3.31,1.5
207,2.58,2
208,2.87,1
209,3,2
210,3.1,2.5
211,3.03,2.5
212,3.25,2
213,2.78,2
214,2.66,1.5
215,2.03,1
216,3.31,2.5
217,2.89,0
218,3.95,3
219,2.48,0
220,2.63,2
221,3.05,2
222,2.72,1.5
223,2.62,2
224,2.55,2
225,2.48,2.5
226,3.25,1.5
227,2.81,1.5
228,2.48,1.5
229,3,1
230,2.81,0
231,2.12,1.5
232,2.86,1
233,3.31,0
234,3.12,1
235,3.72,1
236,2.12,0
237,3.06,1.5
238,2.48,1.5
239,3.15,1.5
240,2.89,1
241,2.66,0
242,3.62,1
243,2.84,2
244,2.95,1
245,2.31,1
246,2.56,0
247,2.58,0
248,3.12,0
249,2.77,0
250,3.34,0
251,2.75,2
252,3.25,2.5
253,2.89,0
254,2.77,0
255,1.95,1
256,3.06,0
257,2.53,0
258,2.17,2
259,2.46,0
260,2.86,0
261,1.62,0
262,2.77,1
263,2.58,0
264,2.01,0
265,2,2
266,2.89,1
267,2.13,0
268,2.01,0
269,2.14,0
270,2.67,0
271,2.03,1
272,1.62,0
273,3.48,2.5
274,3.06,3.5
275,3.3,4
276,3.68,4
277,2.73,4
278,2.13,3
279,3,3.5
280,2.94,4
281,1.58,2
282,3.22,2.5
283,2.95,2.5
284,2.62,2.5
285,2.84,2.5
286,2.75,2
287,3.36,3
288,2.76,2
289,2.54,2.5
290,2.97,2.5
291,2.78,2
292,2.74,3.5
293,2.6,2
294,2.5,2.5
295,2.76,2.5
296,3,2.5
297,2.84,2
298,2.82,1
299,1.96,1
300,2.54,2
301,2.44,0
302,2.51,2
303,2.1,2
304,2.63,1
305,2.15,1
306,2.88,2
307,1.75,1
308,2.1,0
309,1.96,1
310,3.16,1
311,2.7,1.5
312,2.2,1.5
313,1.6,0
314,2.9,1
315,3.14,0
316,2.1,0
317,2.25,1
318,2.46,0
319,2.8,1.5
320,2.72,2
321,2.51,0
322,2.44,0
323,2,0
324,2,2
325,2.72,1.5
326,3.14,1.5
327,2.28,1
328,2.15,0
329,1.86,0
330,3.21,0
331,2.58,0
332,2.56,0
333,2.7,0
334,2.56,0
335,1.6,1.5
336,2,0
337,2.51,0
338,2.36,1
339,2.92,0
340,2.24,0
341,2.77,0
342,2.72,0
343,2.77,1.5
344,2.77,0
345,2.16,1
346,2.58,0
347,2.56,1.5
348,1.6,0
349,2.24,0
350,2,0
351,2.44,2
352,1.14,0
353,1.31,0
354,1.75,0
355,3.95,4
356,2.3,3.5
357,3.81,4
358,2.35,2
359,2.67,2
360,2.16,2
361,2.16,3
362,2.68,2.5
363,1.9,2.5
364,2.38,1.5
365,2.33,2
366,2.02,1.5
367,1.34,2
368,3.15,2
369,1.88,1
370,2.42,2
371,3.18,2
372,3.11,2.5
373,2.3,2.5
374,3.46,2.5
375,2.25,2.5
376,1.88,0
377,3.21,2
378,2.54,2
379,2.78,2.5
380,1.62,1.5
381,3.08,1.5
382,1.86,2
383,2.66,1.5
384,2.45,1
385,2.9,2
386,2.02,0
387,2.18,2.5
388,2.32,2
389,2.92,2
390,2.65,0
391,2.15,2
392,2.05,2.5
393,1.78,1.5
394,1.9,0
395,2.04,1
396,1.7,0
397,2.15,0
398,2.04,0
399,1.46,0
400,2.08,1
401,2.18,1.5
402,2.18,0
403,1.62,0
404,2.36,0
405,3.07,1.5
406,1.34,0
407,1.9,1
408,1.58,1
409,1.34,0
410,2.5,0
411,2.36,0
412,1.8,0
413,2.35,0
414,2.1,0
415,2.45,0
416,2.84,0
417,2.17,0
418,1.46,0
419,2.17,0
420,2.45,0
421,2.17,0
422,2.17,0
423,1.62,0
